ticket_id,subject,tag,tag_description,created_at,all_tags
10200,Bank of New York Conference,team-info,,2025-07-08T12:15:10Z,['team-info']
10199,Enterprise Team Request,team-info,,2025-07-08T10:43:19Z,['team-info']
10195,Enterprise Team Request,team-info,,2025-07-08T08:18:46Z,['team-info']
10187,Enterprise Team Request,team-info,,2025-07-07T13:07:55Z,['team-info']
10182,Enterprise Team Request,team-info,,2025-07-07T05:24:24Z,['team-info']
10181,share on Indeed.com,linkedin,Customer has shared their pictures on LinkedIn and wants a re-generation,2025-07-07T03:45:14Z,['linkedin']
10179,Re: [Ai SuitUp] Re: Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-07-07T01:26:32Z,['refund']
10177,Re: [Ai SuitUp] How did we do?,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-07-06T23:12:07Z,['refund']
10176,Free Generation,linkedin,Customer has shared their pictures on LinkedIn and wants a re-generation,2025-07-06T17:43:30Z,['linkedin']
10175,AI Suit Up Photos,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-07-06T06:48:06Z,['refund']
10172,Need Assistance,regeneration,"Customer requests a re-generation with different parameters, e.g. my hair are red, I'm too skinny, etc. See sub-categories.",2025-07-06T00:57:33Z,['regeneration']
10171,Refund,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-07-06T00:43:51Z,"['15pics', 'refund']"
10170,Enterprise Team Request,team-info,,2025-07-05T19:58:49Z,['team-info']
10157,Fw: [Ai SuitUp] Your payment has been received,invoice,Customer requests an invoice,2025-07-04T14:12:19Z,['invoice']
10154,Enterprise Team Request,team-info,,2025-07-04T08:00:36Z,['team-info']
10153,Enterprise Team Request,team-info,,2025-07-04T06:53:15Z,['team-info']
10152,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,reupload,Customer asks for the possibility to reupload different pictures to get better results,2025-07-04T06:27:51Z,['reupload']
10149,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-07-03T22:41:04Z,['refund']
10148,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,regeneration,"Customer requests a re-generation with different parameters, e.g. my hair are red, I'm too skinny, etc. See sub-categories.",2025-07-03T22:31:49Z,['regeneration']
10146,Hey,sppam,,2025-07-03T22:03:27Z,['sppam']
10145,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,regeneration,"Customer requests a re-generation with different parameters, e.g. my hair are red, I'm too skinny, etc. See sub-categories.",2025-07-03T21:23:24Z,['regeneration']
10143,RE: [Ai SuitUp] Your payment has been received,invoice,Customer requests an invoice,2025-07-03T16:57:05Z,['invoice']
10141,Rank Higher Online.,sppam,,2025-07-03T15:43:47Z,['sppam']
10138,1st Page,sppam,,2025-07-03T12:24:02Z,['sppam']
10132,RE: [Ai SuitUp] How did we do?,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-07-03T00:50:29Z,['refund']
10130,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,regeneration,"Customer requests a re-generation with different parameters, e.g. my hair are red, I'm too skinny, etc. See sub-categories.",2025-07-02T19:06:21Z,['regeneration']
10120,"Re: [Ai SuitUp] Re: Re: [Ai SuitUp] Re: Boost Your SEO with Premium Do-Follow Backlinks – Business, Tech & More",sppam,,2025-07-02T11:59:08Z,['sppam']
10118,Enterprise Team Request,team-info,,2025-07-02T09:01:20Z,['team-info']
10116,Collab,sppam,,2025-07-02T06:12:15Z,['sppam']
10115,Enterprise Team Request,team-info,,2025-07-02T06:10:06Z,['team-info']
10112,Receipt?,invoice,Customer requests an invoice,2025-07-01T23:07:48Z,['invoice']
10110,Request of receipt for payment,invoice,Customer requests an invoice,2025-07-01T19:52:10Z,['invoice']
10108,Re: Customized SEO Plans⚡,sppam,,2025-07-01T18:29:48Z,['sppam']
10107,I want a refund.  I uploaded 6 photos and then pai...,ghost-email,The customer contacts us but no info is avaialble on him her in stripe or dashboard,2025-07-01T18:12:57Z,"['ghost-email', 'web_widget']"
10106,Re: [Ai SuitUp] Your payment has been received,invoice,Customer requests an invoice,2025-07-01T15:12:45Z,['invoice']
10102,Media Request,influencers,Customer wants to sponsor AI SuitUp on their profiles,2025-07-01T06:17:52Z,['influencers']
10100,Dissatisfaction AI Headshots,reupload,Customer asks for the possibility to reupload different pictures to get better results,2025-07-01T01:02:04Z,['reupload']
10099,Collaboration,influencers,Customer wants to sponsor AI SuitUp on their profiles,2025-06-30T23:40:41Z,['influencers']
10098,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-06-30T22:45:03Z,['refund']
10096,Site Review Alert,sppam,,2025-06-30T20:36:09Z,['sppam']
10095,Fwd: [Ai SuitUp] Your payment has been received,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-06-30T20:29:52Z,['refund']
10094,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,regeneration,"Customer requests a re-generation with different parameters, e.g. my hair are red, I'm too skinny, etc. See sub-categories.",2025-06-30T20:25:49Z,['regeneration']
10090,Re: [Ai SuitUp] Your headshots generation has started,regeneration,"Customer requests a re-generation with different parameters, e.g. my hair are red, I'm too skinny, etc. See sub-categories.",2025-06-30T17:48:48Z,['regeneration']
10088,Enterprise Team Request,team-info,,2025-06-30T17:04:34Z,['team-info']
10086,Re: Website That Reflects Your Brand!,sppam,,2025-06-30T15:48:39Z,['sppam']
10077,Invoicing / Billing,invoice,Customer requests an invoice,2025-06-30T08:35:18Z,['invoice']
10076,Enterprise Team Request,team-info,,2025-06-30T06:55:44Z,['team-info']
10074,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,regeneration,"Customer requests a re-generation with different parameters, e.g. my hair are red, I'm too skinny, etc. See sub-categories.",2025-06-29T23:25:28Z,['regeneration']
10073,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,regeneration,"Customer requests a re-generation with different parameters, e.g. my hair are red, I'm too skinny, etc. See sub-categories.",2025-06-29T19:06:49Z,['regeneration']
10069,Re: [Ai SuitUp] Re: Missing headshots,ghost-email,The customer contacts us but no info is avaialble on him her in stripe or dashboard,2025-06-29T07:09:14Z,['ghost-email']
10068,I shared on LinkedIn,linkedin,Customer has shared their pictures on LinkedIn and wants a re-generation,2025-06-28T10:22:03Z,['linkedin']
10067,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-06-28T03:51:38Z,['refund']
10065,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-06-28T00:30:44Z,['refund']
10063,Re: [Ai SuitUp] Re: AI SuitUp Refund Request,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-06-27T20:19:38Z,['refund']
10061,Remote Attorney and Paralegal,sppam,,2025-06-27T12:58:03Z,['sppam']
10060,Your Competitors Are Winning with 5-Star Profiles Why Not You?,sppam,,2025-06-27T12:47:57Z,['sppam']
10059,Do You Need to Hire a Virtual Assistant?,sppam,,2025-06-27T12:40:39Z,['sppam']
10055,Re: [Ai SuitUp] Your payment has been received,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-06-26T20:12:00Z,['refund']
10054,RE: May i send you a price list...,sppam,,2025-06-26T17:45:02Z,['sppam']
10052,Double charge,double-pay,Customer has paid two times and wants a refund,2025-06-26T16:20:15Z,['double-pay']
10049,Top Page On Google,sppam,,2025-06-26T11:59:30Z,['sppam']
10047,🙇‍♂️ App Business Plans...,sppam,,2025-06-26T07:33:24Z,['sppam']
10046,RE: [Ai SuitUp] Re: Team Request,invoice,Customer requests an invoice,2025-06-26T06:23:30Z,"['invoice', 'team']"
10042,Google Analytics tracking,sppam,,2025-06-25T17:31:28Z,['sppam']
10040,Re: [Ai SuitUp] How did we do?,regeneration,"Customer requests a re-generation with different parameters, e.g. my hair are red, I'm too skinny, etc. See sub-categories.",2025-06-25T17:21:44Z,['regeneration']
10039,Updates for Webflow Optimize usage,sppam,,2025-06-25T16:45:09Z,['sppam']
10038,Let’s Optimize Your Site for Google,sppam,,2025-06-25T16:26:45Z,['sppam']
10037,No pics received,ghost-email,The customer contacts us but no info is avaialble on him her in stripe or dashboard,2025-06-25T15:06:58Z,['ghost-email']
10035,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-06-25T13:43:11Z,['refund']
10034,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,regeneration,"Customer requests a re-generation with different parameters, e.g. my hair are red, I'm too skinny, etc. See sub-categories.",2025-06-25T13:16:12Z,['regeneration']
10029,Website not working,ghost-email,The customer contacts us but no info is avaialble on him her in stripe or dashboard,2025-06-25T02:12:00Z,['ghost-email']
10025,Exceutive headshots,regeneration,"Customer requests a re-generation with different parameters, e.g. my hair are red, I'm too skinny, etc. See sub-categories.",2025-06-24T19:52:28Z,['regeneration']
10020,Headshots,regen-info,This contains the specific feedback from customer for rigen ,2025-06-24T15:10:32Z,['regen-info']
10018,Quality Guest Posting Sites – Health Niche,influencers,Customer wants to sponsor AI SuitUp on their profiles,2025-06-24T04:43:20Z,['influencers']
10017,Refund Request,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-06-24T03:07:24Z,['refund']
10005,Let’s Boost Your SEO with Quality Guest Posts,sppam,,2025-06-23T04:21:59Z,['sppam']
10004,Refund Requested - Fwd: [Ai SuitUp] Your AI Generated Headshots Are Ready!,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-06-23T01:19:12Z,['refund']
10003,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,regeneration,"Customer requests a re-generation with different parameters, e.g. my hair are red, I'm too skinny, etc. See sub-categories.",2025-06-22T23:00:37Z,['regeneration']
10001,I am highly interested to promote it on my X account,influencers,Customer wants to sponsor AI SuitUp on their profiles,2025-06-22T13:14:30Z,['influencers']
10000,Re: Remote paralegal ?,sppam,,2025-06-22T10:34:20Z,['sppam']
9998,Refund Request,regeneration,"Customer requests a re-generation with different parameters, e.g. my hair are red, I'm too skinny, etc. See sub-categories.",2025-06-22T02:29:10Z,['regeneration']
9997,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,regen-info,This contains the specific feedback from customer for rigen ,2025-06-22T00:21:07Z,['regen-info']
9994,Re: Need Cost-Effective Legal Support?,sppam,,2025-06-21T17:45:17Z,['sppam']
9991,SEO Content Writing,sppam,,2025-06-20T17:15:30Z,['sppam']
9981,Re: [Ai SuitUp] How did we do?,feedback,Customer wants to provide feedback,2025-06-19T16:04:39Z,['feedback']
9976,Headshots,regeneration,"Customer requests a re-generation with different parameters, e.g. my hair are red, I'm too skinny, etc. See sub-categories.",2025-06-19T05:43:56Z,['regeneration']
9975,Re: [Ai SuitUp] How did we do?,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-06-19T01:27:23Z,['refund']
9973,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,regeneration,"Customer requests a re-generation with different parameters, e.g. my hair are red, I'm too skinny, etc. See sub-categories.",2025-06-18T20:30:30Z,['regeneration']
9966,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-06-18T00:12:50Z,['refund']
9965,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,regeneration,"Customer requests a re-generation with different parameters, e.g. my hair are red, I'm too skinny, etc. See sub-categories.",2025-06-17T22:46:55Z,['regeneration']
9964,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-06-17T22:09:02Z,['refund']
9956,Missing headshots,ghost-email,The customer contacts us but no info is avaialble on him her in stripe or dashboard,2025-06-17T04:17:18Z,['ghost-email']
9954,Re: [Ai SuitUp] Your payment has been received,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-06-16T18:14:10Z,['refund']
9953,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,invoice,Customer requests an invoice,2025-06-16T16:52:12Z,['invoice']
9948,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,reupload,Customer asks for the possibility to reupload different pictures to get better results,2025-06-15T19:15:03Z,['reupload']
9947,Head shots,regeneration,"Customer requests a re-generation with different parameters, e.g. my hair are red, I'm too skinny, etc. See sub-categories.",2025-06-15T13:44:59Z,['regeneration']
9945,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,regeneration,"Customer requests a re-generation with different parameters, e.g. my hair are red, I'm too skinny, etc. See sub-categories.",2025-06-14T19:34:24Z,['regeneration']
9943,AI SuitUp Refund Request,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-06-14T05:28:50Z,['refund']
9941,Refund Request,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-06-13T20:11:54Z,['refund']
9939,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,reupload,Customer asks for the possibility to reupload different pictures to get better results,2025-06-13T19:05:22Z,['reupload']
9932,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-06-13T16:16:41Z,['refund']
9927,Re: [Ai SuitUp] Your payment has been received,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-06-13T01:48:35Z,['refund']
9926,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,regeneration,"Customer requests a re-generation with different parameters, e.g. my hair are red, I'm too skinny, etc. See sub-categories.",2025-06-12T21:38:12Z,['regeneration']
9917,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,regeneration,"Customer requests a re-generation with different parameters, e.g. my hair are red, I'm too skinny, etc. See sub-categories.",2025-06-12T03:25:20Z,['regeneration']
9915,Refund. I’m bald wtf is this?,regeneration,"Customer requests a re-generation with different parameters, e.g. my hair are red, I'm too skinny, etc. See sub-categories.",2025-06-11T22:40:13Z,['regeneration']
9913,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-06-11T19:47:56Z,['refund']
9912,Re: [Ai SuitUp] Your payment has been received,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-06-11T18:36:48Z,['refund']
9909,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-06-11T16:42:56Z,['refund']
9906,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,regeneration,"Customer requests a re-generation with different parameters, e.g. my hair are red, I'm too skinny, etc. See sub-categories.",2025-06-11T14:18:40Z,['regeneration']
9903,Full refund request - Colette Pratt,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-06-11T12:41:32Z,['refund']
9900,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,reupload,Customer asks for the possibility to reupload different pictures to get better results,2025-06-11T10:01:45Z,['reupload']
9899,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,regeneration,"Customer requests a re-generation with different parameters, e.g. my hair are red, I'm too skinny, etc. See sub-categories.",2025-06-11T09:54:06Z,['regeneration']
9898,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-06-11T04:02:35Z,['refund']
9897,Photos,regeneration,"Customer requests a re-generation with different parameters, e.g. my hair are red, I'm too skinny, etc. See sub-categories.",2025-06-11T02:19:14Z,['regeneration']
9894,Re: [Ai SuitUp] Re: Re: [Ai SuitUp] Your payment has been received,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-06-10T22:14:37Z,"['pictures-not-received-spam', 'refund']"
9893,I Would Like a Refund Please,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-06-10T21:02:08Z,['refund']
9892,RE: [Ai SuitUp] Your AI Generated Headshots Are Ready!,reupload,Customer asks for the possibility to reupload different pictures to get better results,2025-06-10T19:38:31Z,['reupload']
9889,Never received order,ghost-email,The customer contacts us but no info is avaialble on him her in stripe or dashboard,2025-06-10T17:41:27Z,['ghost-email']
9888,Refund,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-06-10T14:36:24Z,['refund']
9886,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-06-10T13:54:05Z,['refund']
9882,Re: [Ai SuitUp] Re: Re: [Ai SuitUp] Your payment has been received,invoice,Customer requests an invoice,2025-06-10T10:56:40Z,"['invoice', 'pictures-not-received-spam']"
9879,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,regeneration,"Customer requests a re-generation with different parameters, e.g. my hair are red, I'm too skinny, etc. See sub-categories.",2025-06-09T20:33:47Z,['regeneration']
9877,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-06-09T19:40:30Z,['refund']
9875,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,regeneration,"Customer requests a re-generation with different parameters, e.g. my hair are red, I'm too skinny, etc. See sub-categories.",2025-06-09T17:23:55Z,['regeneration']
9871,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,regeneration,"Customer requests a re-generation with different parameters, e.g. my hair are red, I'm too skinny, etc. See sub-categories.",2025-06-09T12:19:02Z,['regeneration']
9870,AI Headshots,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-06-09T10:39:41Z,['refund']
9868,Re: [Ai SuitUp] How did we do?,reupload,Customer asks for the possibility to reupload different pictures to get better results,2025-06-09T01:09:39Z,['reupload']
9866,Photo Upload Error,regeneration,"Customer requests a re-generation with different parameters, e.g. my hair are red, I'm too skinny, etc. See sub-categories.",2025-06-08T20:49:21Z,['regeneration']
9863,Re: [Ai SuitUp] Your payment has been received,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-06-08T18:07:39Z,['refund']
9861,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-06-08T11:26:47Z,['refund']
9860,Refund Request,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-06-08T00:47:31Z,['refund']
9858,Re: Refund Request – Order bcb0f54c-0464-4c5e-a657-8d0811af22a7,refund,Customer requests a refund as is intentioned to absoluetely get a refund. See sub-categories,2025-06-07T21:32:34Z,['refund']
9854,Re: [Ai SuitUp] Your AI Generated Headshots Are Ready!,reupload,Customer asks for the possibility to reupload different pictures to get better results,2025-06-06T20:10:47Z,['reupload']
